date,year,month,day,weekofyear,weekday,is_weekend,is_holiday,temperature,rain_mm,store_id,country,city,channel,latitude,longitude,sku_id,sku_name,category,subcategory,brand,units_sold,list_price,discount_pct,promo_flag,gross_sales,net_sales,stock_on_hand,stock_out_flag,lead_time_days,supplier_id,purchase_cost,margin_pct
2023-03-30,2023,3,30,13,3,0,0,14.3,1.81,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0052,BrandD Yogurt,Dairy,Yogurt,BrandD,70,5.4,0.0,0,378.0,378.0,276,0,6,S013,3.02,0.442
2023-05-20,2023,5,20,20,5,1,0,11.56,2.02,STORE0006,France,Paris,Hypermarket,48.87587,2.36046,SKU0102,BrandF Toothpaste,Personal Care,Toothpaste,BrandF,108,3.26,0.0,0,352.08,352.08,279,0,7,S045,1.68,0.485
2021-03-24,2021,3,24,12,2,0,0,13.21,0.58,STORE0004,Germany,Berlin,Hypermarket,52.50051,13.42074,SKU0012,BrandF Juice,Beverages,Juice,BrandF,45,5.09,0.0,0,229.05,229.05,341,0,7,S059,2.6,0.49
2022-08-18,2022,8,18,33,3,0,0,11.18,1.88,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0029,BrandE Chips,Snacks,Chips,BrandE,41,2.24,0.0,0,91.84,91.84,272,0,8,S004,1.42,0.367
2022-09-22,2022,9,22,38,3,0,0,14.07,0.78,STORE0004,Germany,Berlin,Hypermarket,52.50051,13.42074,SKU0013,BrandA Water,Beverages,Water,BrandA,31,7.38,0.0,0,228.78,228.78,99,1,8,S013,4.82,0.347
2023-03-21,2023,3,21,12,1,0,0,15.0,3.17,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0015,BrandC Water,Beverages,Water,BrandC,13,9.29,0.0,0,120.77,120.77,174,0,7,S005,6.01,0.353
2022-12-08,2022,12,8,49,3,0,0,7.81,3.26,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0016,BrandD Water,Beverages,Water,BrandD,23,9.51,0.0,0,218.73,218.73,242,0,7,S050,4.97,0.477
2021-11-22,2021,11,22,47,0,0,0,13.06,9.93,STORE0009,Spain,Barcelona,E-commerce,41.36731,2.15708,SKU0025,BrandA Chips,Snacks,Chips,BrandA,26,8.65,0.0,0,224.9,224.9,322,0,4,S009,5.67,0.344
2022-06-22,2022,6,22,25,2,0,0,14.88,2.8,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0005,BrandE Soda,Beverages,Soda,BrandE,44,9.42,0.0,0,414.48,414.48,220,0,3,S053,7.05,0.251
2022-06-25,2022,6,25,25,5,1,0,12.52,2.93,STORE0013,Netherlands,Amsterdam,Convenience,52.36231,4.9585,SKU0068,BrandB Detergent,Home Care,Detergent,BrandB,9,14.2,0.0,0,127.8,127.8,287,1,10,S015,9.25,0.349
